município,saldo,movements,month
210400,7,9,202209
210405,26,162,202209
210407,-1,3,202209
210408,0,8,202209
210409,9,13,202209
210410,14,54,202209
210420,5,13,202209
210430,74,110,202209
210440,7,27,202209
210450,6,10,202209
210455,52,166,202209
210460,4,6,202209
210462,-1,3,202209
210465,3,3,202209
210467,10,38,202209
210480,32,404,202209
210500,25,27,202209
210510,3,5,202209
210515,0,40,202209
210520,-4,6,202209
210530,301,4507,202209
210535,-3,3,202209
210540,72,198,202209
210542,22,144,202209
210550,14,48,202209
210560,2,2,202209
210565,1,1,202209
210570,3,121,202209
210580,-3,7,202209
210590,2,8,202209
210592,4,6,202209
210594,2,4,202209
210598,0,14,202209
210600,2,4,202209
210610,17,93,202209
210630,-9,13,202209
210632,6,16,202209
210637,2,2,202209
210640,6,36,202209
210650,9,21,202209
210660,8,20,202209
210663,0,4,202209
210670,8,44,202209
210675,3,19,202209
210680,0,4,202209
210690,0,2,202209
210700,-1,3,202209
210710,44,50,202209
210720,-1,7,202209
210725,-1,1,202209
210730,-2,4,202209
210735,-2,6,202209
210740,-7,15,202209
210750,52,424,202209
210760,1,3,202209
210770,-15,27,202209
210780,13,45,202209
210790,5,23,202209
210800,-4,96,202209
210805,-2,4,202209
210810,-1,11,202209
210820,15,261,202209
210830,14,20,202209
210840,-1,5,202209
210845,-1,13,202209
210850,-2,36,202209
210860,32,232,202209
210870,-1,9,202209
210880,5,7,202209
210890,1,3,202209
210900,11,143,202209
210910,-5,271,202209
210920,5,7,202209
210927,0,2,202209
210940,3,5,202209
210945,-28,76,202209
210950,9,83,202209
210955,-1,11,202209
210960,-2,58,202209
210970,14,48,202209
210975,-1,1,202209
210980,22,46,202209
210990,1,553,202209
211000,12,82,202209
211003,-2,14,202209
211010,10,24,202209
211020,1,53,202209
211023,1,11,202209
211027,6,10,202209
211030,14,84,202209
211040,-7,31,202209
211050,12,38,202209
211060,9,31,202209
211065,10,18,202209
211070,0,40,202209
211080,1,21,202209
211085,3,7,202209
211090,-8,10,202209
